application_id,as_of_date,gross_annual,bureau_score,existing_credit_monthly,file_age_months,delinquencies_24m,delinquency_recency_months,amount,term_months,income_verified,employment,title,age_band,employer_name,postcode_district,tenure_months,dependants,purpose
APP000001,2026-03-31,36696.0,722.0,427.0,111.0,0.0,0.0,14207.0,60.0,Yes,self_employed,Ms,25-34,Harrow Estates,L17,63.0,3.0,debt_consolidation
APP000002,2026-03-31,21816.0,628.0,800.0,16.0,1.0,12.0,17855.0,60.0,Yes,contract,Mr,35-44,Calder Logistics,NE2,15.0,0.0,other
APP000003,2026-03-31,16973.0,573.0,440.0,80.0,1.0,7.0,15530.0,24.0,Yes,permanent,Ms,35-44,Kestrel Systems,BS7,152.0,1.0,vehicle
APP000004,2026-03-31,35604.0,764.0,336.0,124.0,0.0,0.0,2000.0,48.0,Yes,permanent,Ms,25-34,Harrow Estates,CF24,36.0,0.0,debt_consolidation
APP000005,2026-03-31,36492.0,708.0,85.0,163.0,0.0,0.0,5448.0,36.0,Yes,contract,Ms,25-34,Meridian Health,L17,17.0,0.0,debt_consolidation
APP000006,2026-03-31,26764.0,516.0,813.0,11.0,0.0,0.0,16069.0,60.0,Yes,permanent,Mr,65+,Solent Marine,BS7,40.0,3.0,other
APP000007,2026-03-31,41150.0,911.0,78.0,157.0,0.0,0.0,20685.0,48.0,No,permanent,Mrs,35-44,Calder Logistics,B15,81.0,3.0,home_improvement
APP000008,2026-03-31,14947.0,652.0,211.0,40.0,2.0,9.0,11617.0,48.0,No,contract,Ms,35-44,Fenwick & Co,LS6,114.0,2.0,debt_consolidation
APP000009,2026-03-31,19429.0,698.0,502.0,6.0,0.0,0.0,24458.0,24.0,Yes,permanent,Ms,45-54,Meridian Health,BS7,17.0,1.0,debt_consolidation
APP000010,2026-03-31,55220.0,700.0,240.0,89.0,0.0,0.0,25575.0,60.0,Yes,permanent,Mrs,25-34,Northgate Retail,M14,30.0,0.0,other
