application_id,split,difficulty,injected_variant,dti_pct,bureau_score,top_driver,must_surface,levers
APP000452,proof,near_boundary,True,46.5,707,dti_ratio,debt-to-income ratio of 47% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000346,tune,near_boundary,False,34.2,542,bureau_score,a bureau score of 542,bureau_score increase
APP001700,tune,near_boundary,False,46.1,603,dti_ratio,debt-to-income ratio of 46% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001633,tune,near_boundary,True,60.5,771,dti_ratio,debt-to-income ratio of 61% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000285,tune,near_boundary,False,33.1,621,delinquency_recency_months,a missed payment within the last 12 months,delinquency_recency_months increase
APP001835,proof,near_boundary,False,45.6,591,dti_ratio,debt-to-income ratio of 46% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000185,proof,near_boundary,False,38.4,605,delinquencies_24m,1 missed payment(s) in the last 24 months; a missed payment within the last 12 months,
APP000294,proof,near_boundary,False,47.4,651,dti_ratio,debt-to-income ratio of 47% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001273,tune,near_boundary,False,44.9,550,bureau_score,a bureau score of 550; debt-to-income exceeds the 40% policy limit,bureau_score increase
APP001823,tune,near_boundary,True,43.5,662,dti_ratio,debt-to-income ratio of 44% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001592,tune,near_boundary,True,49.6,619,dti_ratio,debt-to-income ratio of 50% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001644,tune,near_boundary,False,54.9,705,dti_ratio,debt-to-income ratio of 55% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001657,tune,near_boundary,False,58.7,724,dti_ratio,debt-to-income ratio of 59% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000631,proof,near_boundary,True,45.5,660,dti_ratio,debt-to-income ratio of 45% exceeds the 40% policy limit; a missed payment within the last 12 months; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001597,tune,near_boundary,False,54.9,704,dti_ratio,debt-to-income ratio of 55% exceeds the 40% policy limit; a missed payment within the last 12 months; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001289,proof,near_boundary,False,40.5,605,bureau_score,a bureau score of 605; debt-to-income exceeds the 40% policy limit,bureau_score increase
APP001564,proof,near_boundary,False,47.3,655,dti_ratio,debt-to-income ratio of 47% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001033,proof,near_boundary,True,57.0,745,dti_ratio,debt-to-income ratio of 57% exceeds the 40% policy limit; a missed payment within the last 12 months; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000350,proof,near_boundary,False,62.7,720,dti_ratio,debt-to-income ratio of 63% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001227,tune,near_boundary,False,39.0,545,bureau_score,a bureau score of 545,bureau_score increase
APP000865,proof,near_boundary,False,60.6,768,dti_ratio,debt-to-income ratio of 61% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000703,tune,clean,False,60.4,694,dti_ratio,debt-to-income ratio of 60% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001583,tune,clean,False,50.8,607,dti_ratio,debt-to-income ratio of 51% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001948,tune,clean,False,47.7,636,dti_ratio,debt-to-income ratio of 48% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000737,proof,clean,False,47.2,708,dti_ratio,debt-to-income ratio of 47% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000060,tune,clean,True,41.5,615,delinquencies_24m,1 missed payment(s) in the last 24 months; debt-to-income exceeds the 40% policy limit,
APP001875,proof,clean,False,49.1,634,dti_ratio,debt-to-income ratio of 49% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000611,tune,clean,False,42.5,596,bureau_score,a bureau score of 596; debt-to-income exceeds the 40% policy limit,bureau_score increase
APP001752,proof,clean,True,44.1,529,bureau_score,a bureau score of 529; debt-to-income exceeds the 40% policy limit,bureau_score increase
APP000897,proof,clean,False,44.8,622,dti_ratio,debt-to-income ratio of 45% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000917,proof,clean,False,37.7,589,delinquencies_24m,2 missed payment(s) in the last 24 months; a missed payment within the last 12 months,
APP001796,proof,clean,False,42.9,617,delinquencies_24m,2 missed payment(s) in the last 24 months; debt-to-income exceeds the 40% policy limit,
APP000514,tune,clean,False,51.5,615,dti_ratio,debt-to-income ratio of 52% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001913,proof,clean,False,45.8,668,dti_ratio,debt-to-income ratio of 46% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001010,tune,clean,True,53.8,671,dti_ratio,debt-to-income ratio of 54% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001045,tune,clean,True,55.5,684,dti_ratio,debt-to-income ratio of 56% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000930,tune,clean,True,45.6,654,dti_ratio,debt-to-income ratio of 46% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001978,proof,clean,True,66.5,774,dti_ratio,debt-to-income ratio of 66% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001168,proof,clean,False,49.3,635,dti_ratio,debt-to-income ratio of 49% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000518,tune,clean,True,50.3,666,dti_ratio,debt-to-income ratio of 50% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001826,proof,clean,False,49.6,658,dti_ratio,debt-to-income ratio of 50% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001004,tune,clean,False,48.5,582,dti_ratio,debt-to-income ratio of 48% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001329,tune,clean,False,49.6,630,dti_ratio,debt-to-income ratio of 50% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000470,proof,clean,False,60.9,669,dti_ratio,debt-to-income ratio of 61% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000343,tune,clean,False,49.9,676,dti_ratio,debt-to-income ratio of 50% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000167,proof,clean,False,48.7,699,dti_ratio,debt-to-income ratio of 49% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000813,tune,clean,True,34.9,553,bureau_score,a bureau score of 553; a missed payment within the last 12 months,bureau_score increase
APP000619,tune,clean,False,38.1,630,income_verified,income not verified,
APP000738,tune,clean,False,44.0,633,dti_ratio,debt-to-income ratio of 44% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP001650,proof,clean,False,53.4,630,dti_ratio,debt-to-income ratio of 53% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000132,tune,clean,False,63.3,789,dti_ratio,debt-to-income ratio of 63% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000612,proof,clean,False,44.9,650,delinquencies_24m,2 missed payment(s) in the last 24 months; debt-to-income exceeds the 40% policy limit,
APP001869,proof,clean,False,52.2,663,dti_ratio,debt-to-income ratio of 52% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000752,proof,clean,False,39.9,598,bureau_score,a bureau score of 598,bureau_score increase
APP001175,tune,clean,True,34.4,583,bureau_score,a bureau score of 583; a missed payment within the last 12 months,bureau_score increase
APP001251,tune,clean,True,43.2,680,dti_ratio,debt-to-income ratio of 43% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
APP000643,proof,clean,False,41.3,593,bureau_score,a bureau score of 593; debt-to-income exceeds the 40% policy limit,bureau_score increase
APP000028,tune,clean,True,39.5,588,bureau_score,a bureau score of 588,bureau_score increase
APP001908,tune,clean,False,43.5,675,dti_ratio,debt-to-income ratio of 43% exceeds the 40% policy limit; debt-to-income exceeds the 40% policy limit,amount decrease; term_months increase; gross_annual increase; existing_credit_monthly decrease
